Data;Último;Abertura;Máxima;Mínima;Var%
2021-04-23;54,764;54,455;55,248;54,242;0,57%
2021-04-22;54,451;55,669;55,669;54,366;-2,23%
2021-04-21;55,695;55,692;55,695;55,692;-0,00%
2021-04-20;55,697;55,468;55,885;55,021;0,41%
2021-04-19;55,470;55,874;56,225;55,262;-0,75%
2021-04-16;55,888;56,138;56,777;55,652;-0,49%
2021-04-15;56,165;56,535;56,599;55,945;-0,67%
2021-04-14;56,543;57,190;57,370;56,463;-1,11%
2021-04-13;57,175;57,341;57,565;56,630;-0,28%
2021-04-12;57,335;56,816;57,419;56,292;0,89%
2021-04-09;56,829;55,687;56,854;55,664;1,96%
2021-04-08;55,735;56,148;56,183;55,389;-0,73%
2021-04-07;56,145;55,900;56,547;55,465;0,41%
2021-04-06;55,914;56,649;56,701;55,745;-1,28%
2021-04-05;56,639;57,103;57,103;56,319;-0,77%
2021-04-02;57,080;57,080;57,080;57,080;-0,01%
2021-04-01;57,088;56,333;57,288;56,087;1,34%
2021-03-31;56,333;57,754;57,773;56,221;-2,46%
2021-03-30;57,755;57,829;58,036;57,196;-0,10%
2021-03-29;57,814;57,551;58,078;57,363;0,43%
2021-03-26;57,569;56,475;57,584;56,441;1,93%
2021-03-25;56,478;56,214;56,814;56,165;0,47%
2021-03-24;56,212;55,217;56,432;54,880;1,78%
2021-03-23;55,229;55,042;55,518;54,642;0,30%
2021-03-22;55,062;55,094;55,493;54,937;0,24%
2021-03-19;54,928;55,607;55,641;54,486;-1,24%
2021-03-18;55,616;55,861;55,861;54,764;-0,41%
2021-03-17;55,847;56,261;56,834;55,693;-0,72%
2021-03-16;56,251;56,256;56,338;55,570;0,16%
2021-03-15;56,162;55,492;56,565;55,306;1,16%
2021-03-12;55,520;55,359;55,869;55,312;0,29%
2021-03-11;55,362;56,080;56,214;55,253;-2,40%
2021-03-10;56,723;57,903;58,138;56,438;-2,25%
2021-03-09;58,029;58,742;58,788;57,668;-1,24%
2021-03-08;58,758;56,891;58,767;56,891;3,25%
2021-03-05;56,911;56,695;57,221;56,510;0,38%
2021-03-04;56,697;55,691;56,844;55,437;0,89%
2021-03-03;56,197;56,857;57,729;55,803;-1,00%
2021-03-02;56,763;56,420;57,332;56,387;0,61%
2021-03-01;56,421;55,864;56,426;55,546;0,77%
2021-02-26;55,989;55,337;56,089;54,897;1,23%
2021-02-25;55,311;54,438;55,389;54,164;2,31%
2021-02-24;54,064;54,401;54,446;53,888;-0,64%
2021-02-23;54,412;54,691;54,838;54,069;-0,46%
2021-02-22;54,664;55,125;55,340;54,286;1,56%
2021-02-19;53,826;54,259;54,703;53,659;-0,82%
2021-02-18;54,272;53,877;54,534;53,845;0,30%
2021-02-17;54,108;53,697;54,330;53,697;0,74%
2021-02-16;53,708;53,693;53,708;53,693;0,01%
2021-02-15;53,701;53,701;53,701;53,701;0,00%
2021-02-12;53,701;53,946;54,123;53,539;0,06%
2021-02-11;53,667;53,882;54,112;53,318;-0,36%
2021-02-10;53,863;53,782;54,375;53,477;0,15%
2021-02-09;53,784;53,658;54,476;53,533;0,23%
2021-02-08;53,660;54,033;54,202;53,033;-0,09%
2021-02-05;53,706;54,268;54,557;53,430;-1,04%
2021-02-04;54,270;53,553;54,570;53,537;1,37%
2021-02-03;53,537;53,651;53,942;53,192;-0,28%
2021-02-02;53,685;54,327;54,327;53,419;-1,18%
2021-02-01;54,326;54,653;54,860;54,196;-0,56%
2021-01-29;54,630;54,392;55,057;54,190;0,40%
2021-01-28;54,413;54,243;54,595;53,892;0,50%
2021-01-27;54,140;53,554;54,201;53,483;1,09%
2021-01-26;53,556;54,713;54,779;53,113;-2,04%
